publication_id,keyword_id,score,pub_id,kw_id
968023,22879,0.370884,p968023,k22879
968023,42480,0.161235,p968023,k42480
968023,63206,0.0763555,p968023,k63206
972044,56,0.300203,p972044,k56
972044,174,0.153674,p972044,k174
972044,4142,0.180402,p972044,k4142
972044,5532,0.219694,p972044,k5532
972044,6353,0.283253,p972044,k6353
972044,11734,0.358003,p972044,k11734
972044,15050,0.341355,p972044,k15050
972044,21360,0.233902,p972044,k21360
972044,30771,0.264873,p972044,k30771
997982,530,0.00177076,p997982,k530
997982,1832,0.215168,p997982,k1832
997982,3178,0.00162793,p997982,k3178
997982,4578,0.00279748,p997982,k4578
997982,7172,0.279437,p997982,k7172
997982,14817,0.169989,p997982,k14817
997982,38400,0.154031,p997982,k38400
997982,44424,0.393454,p997982,k44424
997982,69938,0.0024178,p997982,k69938
1032261,9916,0.27421,p1032261,k9916
1032261,11643,0.318937,p1032261,k11643
1032261,18379,0.17423,p1032261,k18379
1032261,20639,0.25801,p1032261,k20639
1032261,21214,0.217722,p1032261,k21214
1032261,21360,0.253622,p1032261,k21360
1032261,25648,0.275498,p1032261,k25648
